epoch,test_loss,test_accuracy
1,2.96,13.78
2,2.37,17.87
3,2.06,30.98
4,2.82,26.74
5,2.9,32.48
6,3.43,38.64
7,4.13,41.41
8,4.63,45.93
9,5.45,43.61
10,6.12,47.59
11,6.15,49.87
12,6.11,50.16
13,6.31,51.31
14,6.66,52.02
15,6.35,54.89
16,6.84,53.07
17,6.22,56.22
18,6.33,57.84
19,5.86,58.44
20,6.52,58.21
21,6.14,60.67
22,6.46,60.31
23,5.79,62.14
24,6.91,61.61
25,6.3,61.7
26,5.88,63.01
27,6.38,62.97
28,5.54,65.02
29,6.18,64.3
30,5.53,66.75
31,5.89,66.56
32,5.32,66.92
33,5.79,67.1
34,5.32,68.16
35,5.7,68.31
36,5.47,69.53
37,5.58,69.44
38,5.74,70.04
39,5.16,70.54
40,5.54,70.42
41,5.0,71.82
42,6.34,69.69
43,5.45,71.54
44,5.75,71.12
45,5.16,71.7
46,5.26,72.53
47,5.18,73.02
48,5.53,72.92
49,4.84,74.06
50,5.35,73.57
51,5.27,74.48
52,5.59,72.57
53,4.88,74.26
54,5.72,73.81
55,5.78,73.7
56,4.86,75.03
57,5.6,74.36
58,5.23,74.89
59,4.94,75.49
60,5.01,75.39
61,5.21,75.5
62,4.84,76.09
63,5.41,75.05
64,4.48,76.34
65,4.69,76.77
66,4.93,75.91
67,4.76,76.34
68,5.01,76.57
69,4.41,77.52
70,4.74,76.83
71,5.16,76.34
72,4.69,77.64
73,4.48,77.86
74,5.6,75.65
75,4.3,78.73
76,4.3,78.79
77,4.6,78.47
78,5.42,77.13
79,4.55,78.92
80,4.63,78.7
81,4.6,78.6
82,4.67,79.12
83,5.36,77.41
84,4.62,79.47
85,5.28,78.32
86,5.04,79.41
87,4.63,80.1
88,5.25,79.08
89,4.6,80.48
90,4.15,80.88
91,5.03,79.67
92,3.99,81.62
93,4.89,79.51
94,5.03,79.15
95,4.75,79.83
96,4.25,81.62
97,4.95,79.84
98,4.45,80.81
99,4.86,80.5
100,4.86,79.96
101,4.08,82.27
102,4.17,81.6
103,4.87,79.92
104,4.65,81.21
105,4.81,80.37
106,4.47,81.18
107,4.25,81.76
108,4.17,81.83
109,4.33,81.62
110,4.37,81.39
111,4.36,81.66
112,4.35,81.74
113,4.16,82.42
114,4.66,81.59
115,4.42,82.03
116,5.1,81.14
117,4.75,81.54
118,5.1,80.9
119,5.05,81.13
120,5.1,80.86
121,4.89,80.84
122,4.46,82.12
123,5.06,81.12
124,5.42,80.57
125,4.83,81.0
126,4.08,82.88
127,4.72,82.01
128,5.01,81.52
129,5.54,79.8
